Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDD56,15.2,Regular,0.104365283,Fruits and Vegetables,177,OUT017,2007,,Tier 2,Supermarket Type1,3151
NCN41,17,Low Fat,0.087387669,Health and Hygiene,125,OUT010,1998,,Tier 3,Grocery Store,369
FDE23,17.6,Regular,0.053481818,Starchy Foods,47,OUT017,2007,,Tier 2,Supermarket Type1,1071
FDL26,18,Low Fat,0.073306615,Canned,155,OUT049,1999,Medium,Tier 1,Supermarket Type1,3894
NCB30,14.6,Low Fat,0.043021542,Household,196,OUT010,1998,,Tier 3,Grocery Store,595
FDY50,5.8,Low Fat,0.13169655,Dairy,89,OUT017,2007,,Tier 2,Supermarket Type1,2498
NCK19,9.8,Low Fat,0.090834158,Others,192,OUT018,2009,Medium,Tier 3,Supermarket Type2,4068
NCR38,,Low Fat,0.19875618,Household,250,OUT019,1985,Small,Tier 1,Grocery Store,251
FDI28,14.3,Low Fat,0.026321701,Frozen Foods,77,OUT046,1997,Small,Tier 1,Supermarket Type1,950
FDO24,11.1,Low Fat,0.176215665,Baking Goods,158,OUT046,1997,Small,Tier 1,Supermarket Type1,2693
FDC45,17,Low Fat,0.136008489,Fruits and Vegetables,171,OUT045,2002,,Tier 2,Supermarket Type1,1711
FDU27,18.6,Regular,0.17174348,Meat,48,OUT049,1999,Medium,Tier 1,Supermarket Type1,1294
FDS09,8.895,Regular,0.08154715,Snack Foods,49,OUT017,2007,,Tier 2,Supermarket Type1,759
DRE13,,low fat,0.027570939,Soft Drinks,86,OUT027,1985,Medium,Tier 3,Supermarket Type3,2529
FDV15,10.3,Low Fat,0.146767897,Meat,102,OUT018,2009,Medium,Tier 3,Supermarket Type2,1557
FDH26,19.25,Regular,0.03467086,Canned,141,OUT013,1987,High,Tier 3,Supermarket Type1,2399
FDI22,12.6,Low Fat,0.09619424,Snack Foods,210,OUT035,2004,Small,Tier 2,Supermarket Type1,1254
FDJ26,15.3,Regular,0.08511049,Canned,215,OUT018,2009,Medium,Tier 3,Supermarket Type2,1923
FDD26,,Regular,0.1263349,Canned,184,OUT019,1985,Small,Tier 1,Grocery Store,555
NCI55,,Low Fat,0.012592289,Household,123,OUT027,1985,Medium,Tier 3,Supermarket Type3,4751
FDA35,,Regular,0.05357685,Baking Goods,122,OUT027,1985,Medium,Tier 3,Supermarket Type3,3552
FDN21,18.6,Low Fat,0.077168705,Snack Foods,160,OUT018,2009,Medium,Tier 3,Supermarket Type2,1611
NCM43,14.5,Low Fat,0.032597778,Others,163,OUT010,1998,,Tier 3,Grocery Store,815
FDD09,13.5,Low Fat,0.021583971,Fruits and Vegetables,179,OUT018,2009,Medium,Tier 3,Supermarket Type2,2173
FDI24,10.3,Low Fat,0.078903499,Baking Goods,177,OUT045,2002,,Tier 2,Supermarket Type1,4234
NCN41,,Low Fat,0.091411749,Health and Hygiene,121,OUT019,1985,Small,Tier 1,Grocery Store,369
NCT53,,Low Fat,0.084245356,Health and Hygiene,164,OUT019,1985,Small,Tier 1,Grocery Store,657
FDQ47,7.155,Regular,0.281509514,Breads,33,OUT010,1998,,Tier 3,Grocery Store,35
NCD42,16.5,Low Fat,0.012689327,Health and Hygiene,39,OUT018,2009,Medium,Tier 3,Supermarket Type2,227
FDI21,5.59,Regular,0.094741514,Snack Foods,63,OUT010,1998,,Tier 3,Grocery Store,191
FDS48,15.15,Low Fat,0.046496777,Baking Goods,149,OUT010,1998,,Tier 3,Grocery Store,300
FDW50,13.1,Low Fat,0.076005548,Dairy,166,OUT017,2007,,Tier 2,Supermarket Type1,1169
FDO37,8.06,Low Fat,0,Breakfast,232,OUT018,2009,Medium,Tier 3,Supermarket Type2,3696
FDS04,10.195,Regular,0,Frozen Foods,139,OUT018,2009,Medium,Tier 3,Supermarket Type2,4495
FDP38,10.1,Low Fat,0.053732324,Canned,49,OUT010,1998,,Tier 3,Grocery Store,303
NCF06,6.235,Low Fat,0.033807904,Household,258,OUT010,1998,,Tier 3,Grocery Store,258
FDR35,12.5,Low Fat,0.020782036,Breads,198,OUT018,2009,Medium,Tier 3,Supermarket Type2,2587
FDB04,11.35,Regular,0.063173691,Dairy,86,OUT013,1987,High,Tier 3,Supermarket Type1,1494
FDK16,9.065,Low Fat,0.115563679,Frozen Foods,96,OUT045,2002,,Tier 2,Supermarket Type1,1713
FDM57,11.65,Regular,0.076278201,Snack Foods,85,OUT017,2007,,Tier 2,Supermarket Type1,671
FDF45,18.2,Regular,0.012223687,Fruits and Vegetables,57,OUT049,1999,Medium,Tier 1,Supermarket Type1,1640
FDH04,6.115,Regular,0.011419301,Frozen Foods,91,OUT018,2009,Medium,Tier 3,Supermarket Type2,1629
FDL25,6.92,Regular,0.131458247,Breakfast,90,OUT018,2009,Medium,Tier 3,Supermarket Type2,183
FDK40,7.035,LF,0.021883368,Frozen Foods,263,OUT049,1999,Medium,Tier 1,Supermarket Type1,4996
FDV46,18.2,Low Fat,0.012607876,Snack Foods,139,OUT046,1997,Small,Tier 1,Supermarket Type1,1398
FDU31,10.5,Regular,0.025041738,Fruits and Vegetables,218,OUT045,2002,,Tier 2,Supermarket Type1,3255
NCQ53,17.6,Low Fat,0.018934719,Health and Hygiene,237,OUT049,1999,Medium,Tier 1,Supermarket Type1,3545
FDD09,,Low Fat,0.021392306,Fruits and Vegetables,182,OUT027,1985,Medium,Tier 3,Supermarket Type3,6157
FDY19,19.75,Low Fat,0.041448824,Fruits and Vegetables,116,OUT045,2002,,Tier 2,Supermarket Type1,2828
FDI33,16.5,Low Fat,0.028395167,Snack Foods,91,OUT013,1987,High,Tier 3,Supermarket Type1,2462
FDG08,13.15,Regular,0.165221717,Fruits and Vegetables,172,OUT013,1987,High,Tier 3,Supermarket Type1,4466
FDE39,7.89,Low Fat,0.036127671,Dairy,117,OUT035,2004,Small,Tier 2,Supermarket Type1,2026
FDH53,20.5,Regular,0.019277945,Frozen Foods,82,OUT018,2009,Medium,Tier 3,Supermarket Type2,1733
FDB09,16.25,Low Fat,0.057629899,Fruits and Vegetables,123,OUT018,2009,Medium,Tier 3,Supermarket Type2,1120
FDI22,12.6,Low Fat,0.096212432,Snack Foods,207,OUT046,1997,Small,Tier 1,Supermarket Type1,4390
FDX24,,LF,0.024387984,Baking Goods,92,OUT019,1985,Small,Tier 1,Grocery Store,185
FDE09,8.775,Low Fat,0.021647195,Fruits and Vegetables,109,OUT045,2002,,Tier 2,Supermarket Type1,994
FDJ57,7.42,Regular,0.021573645,Seafood,184,OUT046,1997,Small,Tier 1,Supermarket Type1,5015
DRC49,8.67,Low Fat,0.065424208,Soft Drinks,145,OUT035,2004,Small,Tier 2,Supermarket Type1,2444
FDU19,8.77,Regular,0.046866331,Fruits and Vegetables,170,OUT045,2002,,Tier 2,Supermarket Type1,1551
FDU43,19.35,Regular,0,Fruits and Vegetables,238,OUT013,1987,High,Tier 3,Supermarket Type1,3575
FDA50,16.25,Low Fat,0.087102593,Dairy,96,OUT013,1987,High,Tier 3,Supermarket Type1,868
NCM29,11.5,Low Fat,0.01774202,Health and Hygiene,129,OUT017,2007,,Tier 2,Supermarket Type1,1836
FDQ13,11.1,Low Fat,0.010632752,Canned,82,OUT013,1987,High,Tier 3,Supermarket Type1,1510
FDB26,,Regular,0.031116081,Canned,55,OUT027,1985,Medium,Tier 3,Supermarket Type3,1544
FDI21,5.59,Regular,0.05671761,Snack Foods,62,OUT045,2002,,Tier 2,Supermarket Type1,1406
FDV25,,Low Fat,0.079931185,Canned,219,OUT019,1985,Small,Tier 1,Grocery Store,884
FDQ23,6.55,Low Fat,0.024505418,Breads,102,OUT013,1987,High,Tier 3,Supermarket Type1,1845
FDJ41,6.85,Low Fat,0.03830192,Frozen Foods,261,OUT010,1998,,Tier 3,Grocery Store,1046
NCO42,21.25,Low Fat,0.024693927,Household,144,OUT049,1999,Medium,Tier 1,Supermarket Type1,1749
FDQ13,,Low Fat,0.010590075,Canned,84,OUT027,1985,Medium,Tier 3,Supermarket Type3,3691
FDU47,12.8,Regular,0.190569038,Breads,138,OUT010,1998,,Tier 3,Grocery Store,280
FDW57,8.31,Regular,0,Snack Foods,177,OUT046,1997,Small,Tier 1,Supermarket Type1,3896
DRN47,12.1,Low Fat,0.016826748,Hard Drinks,179,OUT046,1997,Small,Tier 1,Supermarket Type1,3056
FDW28,,Low Fat,0.088394115,Frozen Foods,194,OUT027,1985,Medium,Tier 3,Supermarket Type3,5872
NCN42,20.25,Low Fat,0,Household,145,OUT013,1987,High,Tier 3,Supermarket Type1,3384
FDR60,,Low Fat,0.129783577,Baking Goods,78,OUT027,1985,Medium,Tier 3,Supermarket Type3,1004
FDO09,,Regular,0,Snack Foods,262,OUT019,1985,Small,Tier 1,Grocery Store,788
FDX45,16.75,Low Fat,0,Snack Foods,156,OUT046,1997,Small,Tier 1,Supermarket Type1,2816
FDH27,7.075,Low Fat,0.058465268,Dairy,145,OUT045,2002,,Tier 2,Supermarket Type1,1869
FDO08,11.1,Regular,0.053765212,Fruits and Vegetables,163,OUT035,2004,Small,Tier 2,Supermarket Type1,1808
FDG10,6.63,Regular,0.01098386,Snack Foods,55,OUT018,2009,Medium,Tier 3,Supermarket Type2,343
FDZ40,8.935,Low Fat,0.040245222,Frozen Foods,54,OUT049,1999,Medium,Tier 1,Supermarket Type1,1348
FDZ27,7.935,Low Fat,0.017253305,Dairy,51,OUT017,2007,,Tier 2,Supermarket Type1,499
FDZ46,7.485,Low Fat,0.069231189,Snack Foods,112,OUT049,1999,Medium,Tier 1,Supermarket Type1,1215
FDI46,9.5,Low Fat,0.074648119,Snack Foods,253,OUT018,2009,Medium,Tier 3,Supermarket Type2,755
NCW53,18.35,Low Fat,0.030542489,Health and Hygiene,193,OUT049,1999,Medium,Tier 1,Supermarket Type1,2693
FDY52,6.365,Low Fat,0.007359711,Frozen Foods,60,OUT049,1999,Medium,Tier 1,Supermarket Type1,490
FDU07,11.1,Low Fat,0.059940022,Fruits and Vegetables,149,OUT049,1999,Medium,Tier 1,Supermarket Type1,4231
NCQ05,11.395,Low Fat,0,Health and Hygiene,149,OUT017,2007,,Tier 2,Supermarket Type1,2407
FDT16,9.895,Regular,0.048860587,Frozen Foods,260,OUT018,2009,Medium,Tier 3,Supermarket Type2,4165
NCJ17,7.68,Low Fat,0.153419412,Health and Hygiene,86,OUT017,2007,,Tier 2,Supermarket Type1,511
NCY29,13.65,Low Fat,0.077219509,Health and Hygiene,56,OUT035,2004,Small,Tier 2,Supermarket Type1,509
NCQ18,15.75,Low Fat,0.13504726,Household,98,OUT035,2004,Small,Tier 2,Supermarket Type1,2496
FDS02,10.195,Regular,0.146094132,Dairy,196,OUT049,1999,Medium,Tier 1,Supermarket Type1,2926
NCK31,10.895,Low Fat,0.027157955,Others,50,OUT018,2009,Medium,Tier 3,Supermarket Type2,820
FDH60,,Regular,0.080346058,Baking Goods,195,OUT027,1985,Medium,Tier 3,Supermarket Type3,5499
FDO19,17.7,Regular,0.016596645,Fruits and Vegetables,48,OUT046,1997,Small,Tier 1,Supermarket Type1,777
DRF37,17.25,low fat,0.084316691,Soft Drinks,263,OUT035,2004,Small,Tier 2,Supermarket Type1,6311
FDN21,18.6,Low Fat,0.076791671,Snack Foods,161,OUT013,1987,High,Tier 3,Supermarket Type1,3705
FDM14,13.8,Low Fat,0.01326146,Canned,108,OUT035,2004,Small,Tier 2,Supermarket Type1,759
FDO08,11.1,Regular,0,Fruits and Vegetables,165,OUT018,2009,Medium,Tier 3,Supermarket Type2,1973
FDS27,10.195,Regular,0.012528611,Meat,195,OUT017,2007,,Tier 2,Supermarket Type1,3731
DRM59,5.88,Low Fat,0.003597678,Hard Drinks,153,OUT049,1999,Medium,Tier 1,Supermarket Type1,2922
NCO29,11.15,Low Fat,0.032438645,Health and Hygiene,163,OUT017,2007,,Tier 2,Supermarket Type1,2302
FDC32,,Low Fat,0.173527068,Fruits and Vegetables,92,OUT019,1985,Small,Tier 1,Grocery Store,277
DRA12,11.6,Low Fat,0.041112694,Soft Drinks,142,OUT018,2009,Medium,Tier 3,Supermarket Type2,850
FDI14,,Low Fat,0.089243504,Canned,139,OUT027,1985,Medium,Tier 3,Supermarket Type3,1976
DRG51,12.1,Low Fat,0.011539622,Dairy,163,OUT046,1997,Small,Tier 1,Supermarket Type1,2302
FDR33,,Low Fat,0.04690397,Snack Foods,110,OUT019,1985,Small,Tier 1,Grocery Store,659
FDS23,4.635,Low Fat,0.141686037,Breads,126,OUT017,2007,,Tier 2,Supermarket Type1,1798
NCF43,8.51,Low Fat,0.052051256,Household,142,OUT045,2002,,Tier 2,Supermarket Type1,2004
DRN37,9.6,low fat,0.09627919,Soft Drinks,167,OUT035,2004,Small,Tier 2,Supermarket Type1,1838
FDX57,17.25,Regular,0.047533568,Snack Foods,96,OUT017,2007,,Tier 2,Supermarket Type1,1458
NCC42,15,Low Fat,0.04499948,Health and Hygiene,140,OUT045,2002,,Tier 2,Supermarket Type1,1685
FDS47,16.75,Low Fat,0.12888573,Breads,87,OUT046,1997,Small,Tier 1,Supermarket Type1,1494
DRK35,8.365,Low Fat,0.120256303,Hard Drinks,39,OUT010,1998,,Tier 3,Grocery Store,75
DRF37,,Low Fat,0,Soft Drinks,261,OUT019,1985,Small,Tier 1,Grocery Store,788
DRI23,18.85,Low Fat,0.137755834,Hard Drinks,161,OUT018,2009,Medium,Tier 3,Supermarket Type2,3530
FDB28,6.615,Low Fat,0.093913607,Dairy,198,OUT017,2007,,Tier 2,Supermarket Type1,1186
FDU50,5.75,Regular,0.075287081,Dairy,115,OUT049,1999,Medium,Tier 1,Supermarket Type1,572
FDD22,10,Low Fat,0.100055625,Snack Foods,113,OUT018,2009,Medium,Tier 3,Supermarket Type2,3467
FDG04,13.1,Low Fat,0.006061565,Frozen Foods,188,OUT035,2004,Small,Tier 2,Supermarket Type1,4303
FDM08,10.1,Regular,0.053667516,Fruits and Vegetables,223,OUT049,1999,Medium,Tier 1,Supermarket Type1,671
FDI28,,Low Fat,0.026194237,Frozen Foods,79,OUT027,1985,Medium,Tier 3,Supermarket Type3,1901
FDM57,11.65,Regular,0.076002991,Snack Foods,83,OUT045,2002,,Tier 2,Supermarket Type1,503
NCS17,,Low Fat,0.080111611,Health and Hygiene,94,OUT027,1985,Medium,Tier 3,Supermarket Type3,4065
FDX44,9.3,Low Fat,0.043141572,Fruits and Vegetables,90,OUT018,2009,Medium,Tier 3,Supermarket Type2,1249
DRE03,19.6,Low Fat,0.024276035,Dairy,45,OUT045,2002,,Tier 2,Supermarket Type1,614
FDT46,11.35,Low Fat,0.03093263,Snack Foods,51,OUT018,2009,Medium,Tier 3,Supermarket Type2,607
FDW60,5.44,Regular,0.017096552,Baking Goods,178,OUT045,2002,,Tier 2,Supermarket Type1,3175
FDE44,14.65,Low Fat,0.172357491,Fruits and Vegetables,50,OUT017,2007,,Tier 2,Supermarket Type1,788
FDT24,12.35,Regular,0.185824165,Baking Goods,78,OUT035,2004,Small,Tier 2,Supermarket Type1,695
FDO20,12.85,Regular,0.152988295,Fruits and Vegetables,253,OUT017,2007,,Tier 2,Supermarket Type1,2271
FDV47,17.1,Low Fat,0,Breads,85,OUT049,1999,Medium,Tier 1,Supermarket Type1,1860
FDZ26,11.6,reg,0.143897558,Dairy,240,OUT013,1987,High,Tier 3,Supermarket Type1,2868
FDK48,7.445,Low Fat,0.037845086,Baking Goods,75,OUT017,2007,,Tier 2,Supermarket Type1,1956
FDX32,,Regular,0.1748389,Fruits and Vegetables,142,OUT019,1985,Small,Tier 1,Grocery Store,433
FDE56,,Regular,0.278730642,Fruits and Vegetables,63,OUT019,1985,Small,Tier 1,Grocery Store,247
DRJ01,6.135,low fat,0.115500999,Soft Drinks,161,OUT018,2009,Medium,Tier 3,Supermarket Type2,644
FDC53,8.68,Low Fat,0.01478914,Frozen Foods,97,OUT010,1998,,Tier 3,Grocery Store,98
NCN07,18.5,Low Fat,0.033938279,Others,132,OUT035,2004,Small,Tier 2,Supermarket Type1,1318
FDI28,14.3,Low Fat,0.026299797,Frozen Foods,79,OUT013,1987,High,Tier 3,Supermarket Type1,1743
NCO55,,Low Fat,0.159394437,Others,105,OUT019,1985,Small,Tier 1,Grocery Store,214
FDP46,15.35,Low Fat,0,Snack Foods,88,OUT046,1997,Small,Tier 1,Supermarket Type1,1797
FDX26,17.7,Low Fat,0,Dairy,182,OUT013,1987,High,Tier 3,Supermarket Type1,2736
FDD56,15.2,Regular,0.10377827,Fruits and Vegetables,175,OUT046,1997,Small,Tier 1,Supermarket Type1,2451
FDP12,9.8,Regular,0.045522854,Baking Goods,35,OUT017,2007,,Tier 2,Supermarket Type1,352
FDT40,,Low Fat,0.095331433,Frozen Foods,125,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543
FDV57,15.25,Regular,0,Snack Foods,179,OUT018,2009,Medium,Tier 3,Supermarket Type2,3056
FDZ09,17.6,Low Fat,0.105472205,Snack Foods,165,OUT017,2007,,Tier 2,Supermarket Type1,3111
FDA07,7.55,Regular,0.030938774,Fruits and Vegetables,121,OUT035,2004,Small,Tier 2,Supermarket Type1,2082
FDV36,,Low Fat,0.026174636,Baking Goods,127,OUT027,1985,Medium,Tier 3,Supermarket Type3,3415
FDQ01,19.7,Regular,0.160671255,Canned,254,OUT035,2004,Small,Tier 2,Supermarket Type1,3570
FDW46,13,Regular,0.070243155,Snack Foods,65,OUT013,1987,High,Tier 3,Supermarket Type1,391
FDW19,,Regular,0.038313981,Fruits and Vegetables,109,OUT027,1985,Medium,Tier 3,Supermarket Type3,4504
FDY01,11.8,Regular,0.170548238,Canned,113,OUT049,1999,Medium,Tier 1,Supermarket Type1,1382
FDG60,20.35,Low Fat,0.060794097,Baking Goods,233,OUT049,1999,Medium,Tier 1,Supermarket Type1,2577
FDL22,16.85,Low Fat,0.036446751,Snack Foods,90,OUT049,1999,Medium,Tier 1,Supermarket Type1,996
DRK01,7.63,Low Fat,0.061188147,Soft Drinks,94,OUT045,2002,,Tier 2,Supermarket Type1,1134
FDO12,15.75,Low Fat,0.054884821,Baking Goods,195,OUT013,1987,High,Tier 3,Supermarket Type1,1761
FDX12,18.2,Regular,0.026064486,Baking Goods,241,OUT046,1997,Small,Tier 1,Supermarket Type1,4097
FDR28,13.85,Regular,0.025936747,Frozen Foods,164,OUT049,1999,Medium,Tier 1,Supermarket Type1,2609
FDH57,10.895,LF,0.035949725,Fruits and Vegetables,132,OUT017,2007,,Tier 2,Supermarket Type1,3295
FDC04,15.6,Low Fat,0.045168898,Dairy,242,OUT018,2009,Medium,Tier 3,Supermarket Type2,2175
NCI06,11.3,Low Fat,0.04767798,Household,181,OUT013,1987,High,Tier 3,Supermarket Type1,3775
NCY53,20,Low Fat,0.058812134,Health and Hygiene,111,OUT017,2007,,Tier 2,Supermarket Type1,1565
FDR22,19.35,Regular,0.018667601,Snack Foods,112,OUT017,2007,,Tier 2,Supermarket Type1,2908
FDM33,15.6,Low Fat,0.087646694,Snack Foods,221,OUT013,1987,High,Tier 3,Supermarket Type1,5509
FDO57,,Low Fat,0.19033746,Snack Foods,159,OUT019,1985,Small,Tier 1,Grocery Store,160
FDO56,10.195,Regular,0.045165796,Fruits and Vegetables,118,OUT018,2009,Medium,Tier 3,Supermarket Type2,1640
FDO58,,Low Fat,0.039385518,Snack Foods,164,OUT027,1985,Medium,Tier 3,Supermarket Type3,2631
FDQ45,9.5,Regular,0.010914988,Snack Foods,183,OUT035,2004,Small,Tier 2,Supermarket Type1,2572
FDO60,,Low Fat,0.034203092,Baking Goods,43,OUT027,1985,Medium,Tier 3,Supermarket Type3,624
FDI34,10.65,reg,0.085268317,Snack Foods,229,OUT049,1999,Medium,Tier 1,Supermarket Type1,3916
FDJ26,,Regular,0.084354713,Canned,215,OUT027,1985,Medium,Tier 3,Supermarket Type3,4915
FDV08,7.35,Low Fat,0.028571132,Fruits and Vegetables,40,OUT013,1987,High,Tier 3,Supermarket Type1,587
DRD60,15.7,LF,0.037383778,Soft Drinks,179,OUT018,2009,Medium,Tier 3,Supermarket Type2,1817
FDX20,,Low Fat,0.042354152,Fruits and Vegetables,227,OUT027,1985,Medium,Tier 3,Supermarket Type3,7017
FDG59,15.85,Low Fat,0.043410693,Starchy Foods,39,OUT018,2009,Medium,Tier 3,Supermarket Type2,154
FDN58,13.8,Regular,0.056872392,Snack Foods,231,OUT046,1997,Small,Tier 1,Supermarket Type1,5097
FDV48,9.195,Regular,0.051573903,Baking Goods,79,OUT013,1987,High,Tier 3,Supermarket Type1,785
FDA15,9.3,LF,0.016113019,Dairy,248,OUT017,2007,,Tier 2,Supermarket Type1,5976
FDI19,15.1,Low Fat,0.052295514,Meat,242,OUT013,1987,High,Tier 3,Supermarket Type1,4847
FDX19,19.1,Low Fat,0.097127867,Fruits and Vegetables,234,OUT018,2009,Medium,Tier 3,Supermarket Type2,1635
FDO52,11.6,Regular,0.077284566,Frozen Foods,172,OUT049,1999,Medium,Tier 1,Supermarket Type1,4277
NCO05,7.27,Low Fat,0.046653872,Health and Hygiene,98,OUT045,2002,,Tier 2,Supermarket Type1,1970
NCP17,19.35,Low Fat,0.02775746,Health and Hygiene,62,OUT049,1999,Medium,Tier 1,Supermarket Type1,1534
FDK56,9.695,Low Fat,0,Fruits and Vegetables,186,OUT010,1998,,Tier 3,Grocery Store,561
NCG43,20.2,Low Fat,0,Household,94,OUT046,1997,Small,Tier 1,Supermarket Type1,832
DRM59,,LF,0.003574698,Hard Drinks,154,OUT027,1985,Medium,Tier 3,Supermarket Type3,3229
FDA47,10.5,Regular,0.11733375,Baking Goods,164,OUT017,2007,,Tier 2,Supermarket Type1,2773
FDY20,12.5,Regular,0.081684728,Fruits and Vegetables,92,OUT013,1987,High,Tier 3,Supermarket Type1,1177
FDZ22,,Low Fat,0.079261744,Snack Foods,81,OUT019,1985,Small,Tier 1,Grocery Store,83
FDB52,17.75,Low Fat,0.030410273,Dairy,256,OUT013,1987,High,Tier 3,Supermarket Type1,2045
NCS29,9,Low Fat,0.069938838,Health and Hygiene,264,OUT017,2007,,Tier 2,Supermarket Type1,2914
DRC12,17.85,Low Fat,0.037885683,Soft Drinks,190,OUT049,1999,Medium,Tier 1,Supermarket Type1,952
FDP13,,Regular,0.235183205,Canned,41,OUT019,1985,Small,Tier 1,Grocery Store,79
DRF23,4.61,Low Fat,0.123151947,Hard Drinks,175,OUT018,2009,Medium,Tier 3,Supermarket Type2,2093
FDB56,8.75,Regular,0.074565098,Fruits and Vegetables,186,OUT013,1987,High,Tier 3,Supermarket Type1,7322
FDQ47,7.155,Regular,0.169137707,Breads,35,OUT017,2007,,Tier 2,Supermarket Type1,388
FDY39,,Regular,0,Meat,182,OUT027,1985,Medium,Tier 3,Supermarket Type3,7717
FDY36,12.3,Low Fat,0.009429612,Baking Goods,71,OUT045,2002,,Tier 2,Supermarket Type1,1098
NCM17,7.93,Low Fat,0.071076672,Health and Hygiene,44,OUT013,1987,High,Tier 3,Supermarket Type1,802
DRN35,8.01,Low Fat,0.070234306,Hard Drinks,34,OUT035,2004,Small,Tier 2,Supermarket Type1,539
FDK22,9.8,Low Fat,0.043663452,Snack Foods,217,OUT010,1998,,Tier 3,Grocery Store,432
FDI07,,Regular,0.059110912,Meat,199,OUT019,1985,Small,Tier 1,Grocery Store,395
DRK37,5,LF,0,Soft Drinks,190,OUT010,1998,,Tier 3,Grocery Store,379
NCP05,19.6,Low Fat,0.042324556,Health and Hygiene,150,OUT010,1998,,Tier 3,Grocery Store,303
NCD42,16.5,Low Fat,0.012657494,Health and Hygiene,36,OUT049,1999,Medium,Tier 1,Supermarket Type1,872
FDW11,12.6,low fat,0.048857925,Breads,61,OUT049,1999,Medium,Tier 1,Supermarket Type1,1052
FDI14,14.1,Low Fat,0.090185027,Canned,140,OUT017,2007,,Tier 2,Supermarket Type1,2681
NCY42,6.38,Low Fat,0.015186146,Household,144,OUT049,1999,Medium,Tier 1,Supermarket Type1,3435
FDV26,20.25,Regular,0,Dairy,194,OUT049,1999,Medium,Tier 1,Supermarket Type1,4291
FDX15,,Low Fat,0.155541973,Meat,159,OUT027,1985,Medium,Tier 3,Supermarket Type3,641
NCG07,12.3,Low Fat,0.052502049,Household,190,OUT046,1997,Small,Tier 1,Supermarket Type1,4364
FDC44,15.6,Low Fat,0.172596885,Fruits and Vegetables,114,OUT046,1997,Small,Tier 1,Supermarket Type1,2163
FDC47,15,Low Fat,0.118868155,Snack Foods,229,OUT035,2004,Small,Tier 2,Supermarket Type1,5937
NCK53,11.6,Low Fat,0.037639672,Health and Hygiene,98,OUT049,1999,Medium,Tier 1,Supermarket Type1,1388
FDY49,,Regular,0.021031586,Canned,164,OUT019,1985,Small,Tier 1,Grocery Store,495
NCM07,,Low Fat,0.069968018,Others,83,OUT019,1985,Small,Tier 1,Grocery Store,167
FDR47,17.85,Low Fat,0.087963415,Breads,193,OUT017,2007,,Tier 2,Supermarket Type1,4291
FDS59,14.8,Regular,0.043885147,Breads,108,OUT035,2004,Small,Tier 2,Supermarket Type1,1867
DRK47,7.905,Low Fat,0.064163983,Hard Drinks,229,OUT049,1999,Medium,Tier 1,Supermarket Type1,4567
FDZ27,,Low Fat,0,Dairy,51,OUT019,1985,Small,Tier 1,Grocery Store,49
FDE36,,Regular,0,Baking Goods,165,OUT027,1985,Medium,Tier 3,Supermarket Type3,5404
FDM51,11.8,Regular,0.02592132,Meat,101,OUT035,2004,Small,Tier 2,Supermarket Type1,1731
FDY48,14,Low Fat,0.023734872,Baking Goods,103,OUT046,1997,Small,Tier 1,Supermarket Type1,1845
FDA35,14.85,Regular,0.053921264,Baking Goods,123,OUT049,1999,Medium,Tier 1,Supermarket Type1,1960
NCL31,7.39,Low Fat,0.120770963,Others,143,OUT018,2009,Medium,Tier 3,Supermarket Type2,2290
FDC47,15,Low Fat,0.118791698,Snack Foods,229,OUT013,1987,High,Tier 3,Supermarket Type1,4339
FDI26,,Low Fat,0.034717799,Canned,179,OUT027,1985,Medium,Tier 3,Supermarket Type3,6066
FDQ16,19.7,LF,0.041823046,Frozen Foods,108,OUT045,2002,,Tier 2,Supermarket Type1,1965
FDK15,10.8,Low Fat,0.164724567,Meat,98,OUT010,1998,,Tier 3,Grocery Store,99
NCO53,,Low Fat,0.174336148,Health and Hygiene,184,OUT027,1985,Medium,Tier 3,Supermarket Type3,6431
FDG12,,Regular,0.006295472,Baking Goods,122,OUT027,1985,Medium,Tier 3,Supermarket Type3,3735
FDU28,,Regular,0.093463546,Frozen Foods,189,OUT027,1985,Medium,Tier 3,Supermarket Type3,2261
FDI20,,Low Fat,0.067520165,Fruits and Vegetables,211,OUT019,1985,Small,Tier 1,Grocery Store,422
DRN37,9.6,Low Fat,0.161182103,Soft Drinks,165,OUT010,1998,,Tier 3,Grocery Store,334
FDD28,10.695,Low Fat,0.053296868,Frozen Foods,59,OUT046,1997,Small,Tier 1,Supermarket Type1,937
FDP31,21.1,Regular,0.161474419,Fruits and Vegetables,62,OUT035,2004,Small,Tier 2,Supermarket Type1,1086
DRD27,,Low Fat,0.041740624,Dairy,98,OUT019,1985,Small,Tier 1,Grocery Store,198
DRF01,,Low Fat,0.306542848,Soft Drinks,147,OUT019,1985,Small,Tier 1,Grocery Store,291
DRD25,6.135,LF,0.079293753,Soft Drinks,111,OUT018,2009,Medium,Tier 3,Supermarket Type2,2263
FDD53,16.2,Low Fat,0.044472637,Frozen Foods,43,OUT017,2007,,Tier 2,Supermarket Type1,922
FDQ24,15.7,Low Fat,0.073816097,Baking Goods,253,OUT045,2002,,Tier 2,Supermarket Type1,2013
